index	log2FC	tpm	DeepScore	eff_quart	quart_deepCas13
M100_cocktail_algorithm_1	0.923	128.17	0.679	Q3	Q4
M101_cocktail_algorithm_1	1.0825	94.575	0.63	Q3	Q4
M103_cocktail_algorithm_4	1.57	20.85	0.762	Q3	Q4
M104_cocktail_algorithm_4	2.015	25.66	0.559	Q4	Q3
M105_cocktail_algorithm_4	2.805	22.485	0.684	Q4	Q4
M107_cocktail_algorithm_7	0.39145	20.16	0.3	Q2	Q2
M108_cocktail_algorithm_7	1.945	78.77	0.509	Q4	Q3
M109_cocktail_algorithm_7	1.057	47.94	0.619	Q3	Q4
M111_cocktail_algorithm_1	0.4115	61.07	0.618	Q2	Q4
M112_cocktail_algorithm_1	1.22	125.18	0.604	Q3	Q4
M113_cocktail_algorithm_1	0.736	937.3	0.301	Q2	Q2
M115_cocktail_algorithm_4	0.535	60.81	0.471	Q2	Q3
M116_cocktail_algorithm_4	0.4965	14.315	0.53	Q2	Q3
M117_cocktail_algorithm_4	4.48	14.135	0.284	Q4	Q2
M119_cocktail_algorithm_7	1.965	541.66	0.396	Q4	Q2
M120_cocktail_algorithm_7	1.81	26.45	0.42	Q4	Q3
M121_cocktail_algorithm_7	0.484	213.29	0.323	Q2	Q2
M123_cocktail_algorithm_1	2.465	101.295	0.229	Q4	Q1
M124_cocktail_algorithm_1	1.109	54.715	0.518	Q3	Q3
M125_cocktail_algorithm_1	1.163	751.365	0.773	Q3	Q4
M127_cocktail_algorithm_4	2.275	248.93	0.533	Q4	Q3
M128_cocktail_algorithm_4	1.545	36.7	0.615	Q3	Q4
M129_cocktail_algorithm_4	1.062	57.96	0.405	Q3	Q2
M131_cocktail_algorithm_7	3.735	19.03	0.875	Q4	Q4
M132_cocktail_algorithm_7	0.201	283.05	0.553	Q1	Q3
M133_cocktail_algorithm_7	0.4635	67.21	0.35	Q2	Q2
M135_cocktail_algorithm_2	0.4745	167.72	0.431	Q2	Q3
M136_cocktail_algorithm_2	-0.795	80.8	0.858	Q1	Q4
M137_cocktail_algorithm_2	1.525	49.305	0.584	Q3	Q3
M138_cocktail_algorithm_2	0.963	19.4	0.652	Q3	Q4
M139_cocktail_algorithm_5	2.8	20.905	0.38	Q4	Q2
M140_cocktail_algorithm_5	0.8885	238.795	0.237	Q3	Q1
M141_cocktail_algorithm_5	1.023	170.41	0.545	Q3	Q3
M142_cocktail_algorithm_5	-0.37315	794.6	0.187	Q1	Q1
M143_cocktail_algorithm_8	-0.316	369.15	0.262	Q1	Q2
M144_cocktail_algorithm_8	-0.16035	115.12	0.306	Q1	Q2
M146_cocktail_algorithm_8	1.1495	26.83	0.757	Q3	Q4
M147_cocktail_algorithm_2	0.812	260.835	0.728	Q2	Q4
M148_cocktail_algorithm_2	1.0205	93.77	0.303	Q3	Q2
M149_cocktail_algorithm_2	-0.379	130.645	0.193	Q1	Q1
M151_cocktail_algorithm_5	0.571	335.285	0.529	Q2	Q3
M152_cocktail_algorithm_5	2.45	96.345	0.806	Q4	Q4
M153_cocktail_algorithm_5	0.302	73.58	0.765	Q2	Q4
M155_cocktail_algorithm_8	0.08075	312.62	0.227	Q1	Q1
M156_cocktail_algorithm_8	0.6035	46	0.202	Q2	Q1
M157_cocktail_algorithm_8	1.595	200.915	0.41	Q3	Q2
M159_cocktail_algorithm_2	1.835	18.035	0.795	Q4	Q4
M160_cocktail_algorithm_2	0.5905	46.425	0.44	Q2	Q3
M161_cocktail_algorithm_2	-0.19185	77.965	0.791	Q1	Q4
M163_cocktail_algorithm_5	0.05985	188.775	0.431	Q1	Q3
M164_cocktail_algorithm_5	0.251	232.28	0.317	Q1	Q2
M165_cocktail_algorithm_5	-0.6765	227.505	0.242	Q1	Q1
M167_cocktail_algorithm_8	1.2215	44.86	0.342	Q3	Q2
M168_cocktail_algorithm_8	-0.8215	38.505	0.399	Q1	Q2
M169_cocktail_algorithm_8	0.608	322.76	0.282	Q2	Q2
M171_cocktail_algorithm_2	1.465	124.84	0.714	Q3	Q4
M172_cocktail_algorithm_2	-2.44	4104.555	0.713	Q1	Q4
M173_cocktail_algorithm_2	0.259	71.12	0.639	Q2	Q4
M175_cocktail_algorithm_5	1.355	73.75	0.604	Q3	Q4
M176_cocktail_algorithm_5	0.071	19.85	0.756	Q1	Q4
M177_cocktail_algorithm_5	-0.2461	92.55	0.199	Q1	Q1
M179_cocktail_algorithm_8	1.155	155.16	0.644	Q3	Q4
M180_cocktail_algorithm_8	1.68	22.765	0.488	Q4	Q3
M181_cocktail_algorithm_8	0.2595	13.255	0.268	Q2	Q2
M183_cocktail_algorithm_2	1.525	60.915	0.259	Q3	Q1
M184_cocktail_algorithm_2	0.3985	31.965	0.474	Q2	Q3
M185_cocktail_algorithm_2	-0.0842	249.745	0.482	Q1	Q3
M187_cocktail_algorithm_5	2.705	10.565	0.786	Q4	Q4
M188_cocktail_algorithm_5	3.31	10.28	0.774	Q4	Q4
M189_cocktail_algorithm_5	-0.643	148.285	0.379	Q1	Q2
M191_cocktail_algorithm_8	0.754	102.31	0.394	Q2	Q2
M192_cocktail_algorithm_8	0.6845	14.61	0.42	Q2	Q3
M193_cocktail_algorithm_8	0.493	47.175	0.198	Q2	Q1
M195_cocktail_algorithm_2	-0.8225	96.71	0.243	Q1	Q1
M196_cocktail_algorithm_2	1.995	60.91	0.589	Q4	Q4
M197_cocktail_algorithm_2	0.806	101.85	0.169	Q2	Q1
M199_cocktail_algorithm_5	0.696	38.18	0.242	Q2	Q1
M200_cocktail_algorithm_5	1.19	45.21	0.447	Q3	Q3
M201_cocktail_algorithm_5	2.58	26.125	0.494	Q4	Q3
M203_cocktail_algorithm_8	-0.3715	33.72	0.173	Q1	Q1
M204_cocktail_algorithm_8	0.972	153.845	0.273	Q3	Q2
M205_cocktail_algorithm_8	3.195	10.13	0.609	Q4	Q4
M207_cocktail_algorithm_2	0.412	60.585	0.778	Q2	Q4
M208_cocktail_algorithm_2	4.08	18.91	0.874	Q4	Q4
M209_cocktail_algorithm_2	0.7805	909.39	0.562	Q2	Q3
M211_cocktail_algorithm_5	0.124475	80.735	0.345	Q1	Q2
M212_cocktail_algorithm_5	0.1965	17.56	0.528	Q1	Q3
M213_cocktail_algorithm_5	1.265	122.035	0.291	Q3	Q2
M215_cocktail_algorithm_8	0.4665	1518.99	0.573	Q2	Q3
M216_cocktail_algorithm_8	0.8935	51.22	0.714	Q3	Q4
M217_cocktail_algorithm_8	1.2555	124.415	0.622	Q3	Q4
M219_cocktail_algorithm_2	1.575	187.41	0.469	Q3	Q3
M220_cocktail_algorithm_2	1.225	50.17	0.442	Q3	Q3
M221_cocktail_algorithm_2	0.786	963.195	0.256	Q2	Q1
M223_cocktail_algorithm_5	1.64	387.065	0.202	Q4	Q1
M224_cocktail_algorithm_5	1.265	42.885	0.436	Q3	Q3
M225_cocktail_algorithm_5	1.96	30.89	0.593	Q4	Q4
M227_cocktail_algorithm_8	0.675	149.705	0.232	Q2	Q1
M228_cocktail_algorithm_8	3.105	37.785	0.404	Q4	Q2
M229_cocktail_algorithm_8	-0.27415	113.55	0.574	Q1	Q3
M231_cocktail_algorithm_3	2.475	43.315	0.64	Q4	Q4
M232_cocktail_algorithm_3	1.93	13.055	0.676	Q4	Q4
M233_cocktail_algorithm_3	0.10115	132.65	0.505	Q1	Q3
M234_cocktail_algorithm_3	0.9675	19.94	0.586	Q3	Q3
M235_cocktail_algorithm_6	0.2165	122.89	0.778	Q1	Q4
M236_cocktail_algorithm_6	2.39	87.19	0.584	Q4	Q3
M237_cocktail_algorithm_6	-0.371	445.285	0.365	Q1	Q2
M238_cocktail_algorithm_6	0.955	301.82	0.19	Q3	Q1
M244_cocktail_algorithm_3	1.48	68.17	0.775	Q3	Q4
M245_cocktail_algorithm_3	2.09	23.58	0.289	Q4	Q2
M248_cocktail_algorithm_6	0.708	322.865	0.433	Q2	Q3
M249_cocktail_algorithm_6	0.467	66.63	0.771	Q2	Q4
M255_cocktail_algorithm_3	0.637	40.885	0.395	Q2	Q2
M256_cocktail_algorithm_3	1.88	19.285	0.717	Q4	Q4
M257_cocktail_algorithm_3	2.155	15.605	0.311	Q4	Q2
M259_cocktail_algorithm_6	-0.307	242.97	0.599	Q1	Q4
M260_cocktail_algorithm_6	-9e-04	276.29	0.675	Q1	Q4
M261_cocktail_algorithm_6	-0.0044	142.575	0.625	Q1	Q4
M267_cocktail_algorithm_3	1.615	113.445	0.428	Q3	Q3
M268_cocktail_algorithm_3	-1.201	1806.465	0.252	Q1	Q1
M269_cocktail_algorithm_3	0.41385	65.62	0.54	Q2	Q3
M271_cocktail_algorithm_6	0.852	104.39	0.315	Q2	Q2
M272_cocktail_algorithm_6	-0.34	26.535	0.75	Q1	Q4
M273_cocktail_algorithm_6	-0.714	127.705	0.401	Q1	Q2
M279_cocktail_algorithm_3	2.895	24.315	0.578	Q4	Q3
M280_cocktail_algorithm_3	2.25	9.1	0.418	Q4	Q3
M281_cocktail_algorithm_3	-0.058	248.875	0.312	Q1	Q2
M283_cocktail_algorithm_6	-0.12345	73.385	0.591	Q1	Q4
M284_cocktail_algorithm_6	0.7095	61.525	0.66	Q2	Q4
M285_cocktail_algorithm_6	0.782	55.245	0.247	Q2	Q1
M291_cocktail_algorithm_3	0.898	29.31	0.9	Q3	Q4
M292_cocktail_algorithm_3	3.195	26.55	0.814	Q4	Q4
M293_cocktail_algorithm_3	2.89	24.975	0.349	Q4	Q2
M295_cocktail_algorithm_6	0.49	43.925	0.257	Q2	Q1
M296_cocktail_algorithm_6	1.915	27.28	0.272	Q4	Q2
M297_cocktail_algorithm_6	3.095	18.58	0.666	Q4	Q4
M303_cocktail_algorithm_3	1.464	32.345	0.259	Q3	Q1
M304_cocktail_algorithm_3	4.225	15.555	0.342	Q4	Q2
M305_cocktail_algorithm_3	1.615	510.38	0.664	Q3	Q4
M307_cocktail_algorithm_6	-0.514	125.495	0.539	Q1	Q3
M308_cocktail_algorithm_6	0.17835	17.81	0.581	Q1	Q3
M309_cocktail_algorithm_6	0.258	245.3	0.73	Q2	Q4
M315_cocktail_algorithm_3	1.0525	269.2	0.607	Q3	Q4
M316_cocktail_algorithm_3	1.67	39.27	0.556	Q4	Q3
M317_cocktail_algorithm_3	1.32	673.89	0.394	Q3	Q2
M319_cocktail_algorithm_6	0.594	796.095	0.247	Q2	Q1
M320_cocktail_algorithm_6	1.1435	46.52	0.182	Q3	Q1
M321_cocktail_algorithm_6	2.71	18.28	0.447	Q4	Q3
M39_cocktail_algorithm_1	1.62	76.815	0.583	Q3	Q3
M40_cocktail_algorithm_1	0.369585	37.225	0.51	Q2	Q3
M41_cocktail_algorithm_1	1.1055	66.86	0.521	Q3	Q3
M43_cocktail_algorithm_4	1.65	45.595	0.464	Q4	Q3
M44_cocktail_algorithm_4	0.863	241.71	0.542	Q2	Q3
M45_cocktail_algorithm_4	1.26	144.315	0.194	Q3	Q1
M46_cocktail_algorithm_4	2.375	112.61	0.618	Q4	Q4
M47_cocktail_algorithm_7	-0.309	368.495	0.2	Q1	Q1
M48_cocktail_algorithm_7	0.1925	89.945	0.422	Q1	Q3
M49_cocktail_algorithm_7	2.48	33.53	0.796	Q4	Q4
M50_cocktail_algorithm_7	1.57	19.08	0.459	Q3	Q3
M51_cocktail_algorithm_1	1.385	175.12	0.727	Q3	Q4
M52_cocktail_algorithm_1	0.446	139.16	0.537	Q2	Q3
M53_cocktail_algorithm_1	1.0485	48.72	0.238	Q3	Q1
M55_cocktail_algorithm_4	0.10605	462.41	0.425	Q1	Q3
M56_cocktail_algorithm_4	1.85	146.6	0.379	Q4	Q2
M57_cocktail_algorithm_4	0.5385	62.595	0.601	Q2	Q4
M59_cocktail_algorithm_7	0.226	282.565	0.813	Q1	Q4
M60_cocktail_algorithm_7	0.18685	61.545	0.325	Q1	Q2
M61_cocktail_algorithm_7	0.641	389.55	0.516	Q2	Q3
M63_cocktail_algorithm_1	-0.7475	109.435	0.622	Q1	Q4
M64_cocktail_algorithm_1	0.9195	38.58	0.708	Q3	Q4
M65_cocktail_algorithm_1	0.788	39.4	0.586	Q2	Q3
M67_cocktail_algorithm_4	1.795	56.63	0.5	Q4	Q3
M68_cocktail_algorithm_4	3.95	18.685	0.722	Q4	Q4
M69_cocktail_algorithm_4	-0.908	269.66	0.49	Q1	Q3
M71_cocktail_algorithm_7	1.84	28.655	0.643	Q4	Q4
M72_cocktail_algorithm_7	0.1335	21.96	0.642	Q1	Q4
M73_cocktail_algorithm_7	0.448	360.99	0.543	Q2	Q3
M75_cocktail_algorithm_1	0.7675	201.96	0.55	Q2	Q3
M76_cocktail_algorithm_1	-2.64	4797.1	0.302	Q1	Q2
M77_cocktail_algorithm_1	1.485	31.575	0.445	Q3	Q3
M79_cocktail_algorithm_4	4.32	9.455	0.768	Q4	Q4
M80_cocktail_algorithm_4	0.0335	20.355	0.413	Q1	Q3
M81_cocktail_algorithm_4	0.6925	48.325	0.329	Q2	Q2
M83_cocktail_algorithm_7	0.134065	316.745	0.59	Q1	Q4
M84_cocktail_algorithm_7	0.8705	40.47	0.577	Q2	Q3
M85_cocktail_algorithm_7	0.1845	13.89	0.716	Q1	Q4
M87_cocktail_algorithm_1	3.45	17.045	0.627	Q4	Q4
M88_cocktail_algorithm_1	1.196	21.21	0.752	Q3	Q4
M89_cocktail_algorithm_1	2.28	52.675	0.537	Q4	Q3
M91_cocktail_algorithm_4	1.67	21.12	0.64	Q4	Q4
M93_cocktail_algorithm_4	2.175	21.215	0.642	Q4	Q4
M95_cocktail_algorithm_7	0.648	109.285	0.606	Q2	Q4
M96_cocktail_algorithm_7	0.252	19.74	0.31	Q2	Q2
M97_cocktail_algorithm_7	0.238	56.05	0.869	Q1	Q4
M99_cocktail_algorithm_1	-0.3765	71.34	0.321	Q1	Q2
